"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3112","test_pay_order_successfully","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","708","test_get_nonexistent_product_returns_404","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","1932","test_auto_generated_request_id_on_order_creation","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","942","test_products_endpoint_echoes_request_tracing_headers","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","2205","test_create_order_response_uses_taxed_pricing_while_order_details_uses_standard_pricing","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","978","test_delete_product_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","4977","test_list_products_with_descending_sort","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","1648","test_create_order_rejects_negative_quantity","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","3107","test_mark_order_as_delivered","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","703","test_create_product_rejects_blank_name[   ]","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","3116","test_delete_product_rejects_product_referenced_by_order","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","705","test_ship_order_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2641","test_invalid_order_transition_does_not_append_new_outbox_event","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2170","test_order_details_endpoint_echoes_request_tracing_headers","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","703","test_create_product_rejects_blank_name[]","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","1462","test_create_product_persists_record","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","2165","test_update_product_updates_persisted_record","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","1922","test_create_order_rejects_duplicate_product_ids","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","705","test_ready_to_ship_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","705","test_list_products_returns_paginated_payload","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","703","test_generated_request_id_is_returned_on_health_endpoint_when_omitted","tests.e2e","2026-05-28","passed","2026-05-28","","test_health","",""
"","2629","test_filter_products_with_in_stock_true","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","2824","test_reject_invalid_order_status_transitions[OrderStatus.READY_TO_SHIP-delivered]","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","703","test_reject_invalid_price_filter_range","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","3610","test_pagination_beyond_available_product_pages_returns_empty_page_safely","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","703","test_health_endpoint_returns_request_tracing_headers","tests.e2e","2026-05-28","passed","2026-05-28","","test_health","",""
"","2354","test_filter_products_with_in_stock_false","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","1646","test_create_order_rejects_invalid_quantity","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","746","test_health_endpoint_returns_ok","tests.e2e","2026-05-28","passed","2026-05-28","","test_health","",""
"","1933","test_request_id_propagation_on_order_creation","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2178","test_get_order_details_returns_created_order","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2697","test_order_creation","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","1685","test_create_product_rejects_duplicate_name","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","6002","test_full_order_lifecycle_writes_complete_outbox_event_sequence","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","703","test_get_order_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","3097","test_reject_invalid_order_status_transitions[OrderStatus.CREATED-shipped]","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","3105","test_mark_order_as_shipped","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","705","test_deliver_order_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2874","test_failed_order_creation_leaves_no_partial_data","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2590","test_delete_product_removes_unused_product","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","2120","test_update_product_rejects_name_conflict","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","3190","test_create_order_with_multiple_valid_products","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","706","test_pay_order_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","3803","test_invalid_product_sort_field_falls_back_safely","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","979","test_update_product_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","1411","test_get_product_returns_expected_product","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","2155","test_update_product_rejects_blank_name[]","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","1693","test_product_name_is_trimmed_before_persistence","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","2363","test_create_order_rejects_nonexistent_product","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","705","test_product_search_term_shorter_than_minimum_length_is_rejected","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","703","test_generated_request_id_is_returned_on_products_endpoint_when_omitted","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","4979","test_list_products_with_ascending_sort","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","3105","test_mark_order_ready_to_ship","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","3095","test_reject_invalid_order_status_transitions[OrderStatus.CREATED-ready-to-ship]","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","1656","test_list_products_with_filters","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","703","test_get_product_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","1411","test_create_order_rejects_empty_items","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","710","test_get_nonexistent_order_returns_404","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","1701","test_create_order_calculates_total_price","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2155","test_update_product_rejects_blank_name[   ]","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
