Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders/{id},191,0,310,326.0354351675386,241.15288099999077,501.2384209999965,248.37696335078533,2.802924510108498,0.0,310,350,370,390,440,460,480,500,500,500,500
GET,GET /api/products/,201,1,300,323.3594775522394,237.92301400000326,1202.8175970000063,3494.5273631840796,2.9496744844597287,0.014674997435123028,300,320,330,350,410,450,690,700,1200,1200,1200
GET,GET /api/products/?in_stock={value},35,0,290,315.8825027142869,242.1057240000053,486.85632699999815,2447.8571428571427,0.513624910229306,0.0,290,330,350,370,450,470,490,490,490,490,490
GET,GET /api/products/?min_price={min_price}&max_price={max_price},39,0,320,336.6511071794867,239.13710200000082,692.2789459999947,2412.6666666666665,0.5723248999697981,0.0,320,360,370,390,400,560,690,690,690,690,690
GET,GET /api/products/?page={page},38,0,280,296.843562157893,236.52516600000695,447.2365309999873,2845.3684210526317,0.5576499025346751,0.0,280,310,320,320,380,420,450,450,450,450,450
GET,GET /api/products/?page={page}&page_size={page_size},46,1,280,328.0075018913067,239.67352700000077,1259.173435000008,2108.0652173913045,0.6750498820156593,0.014674997435123028,280,300,350,380,440,490,1300,1300,1300,1300,1300
GET,GET /api/products/?search={keyword},29,0,290,310.3236042068968,242.11065999999448,461.5837830000089,56.0,0.4255749256185678,0.0,290,340,340,370,390,430,460,460,460,460,460
GET,GET /api/products/?search={keyword}&min_price={min_price}&max_price={max_price}&in_stock={value},33,0,290,302.63873499999977,242.72018200000645,452.4603929999955,92.27272727272727,0.4842749153590599,0.0,290,320,330,340,380,420,450,450,450,450,450
GET,GET /api/products/?sort_by=price&sort_order=asc,48,0,310,332.0167437500011,242.55589599999894,643.7725070000013,3410.0,0.7043998768859053,0.0,320,340,370,370,450,470,640,640,640,640,640
GET,GET /api/products/?sort_by=price&sort_order=desc,34,0,310,319.2449477941167,242.5768239999968,431.4863590000044,3453.0,0.49894991279418294,0.0,310,340,340,370,370,430,430,430,430,430,430
GET,GET /api/products/{id},80,0,300,322.33308492499975,235.63357799999096,463.5466369999932,170.0,1.1739997948098422,0.0,300,350,370,370,450,460,460,460,460,460,460
POST,POST /api/orders/,200,0,300,322.61064741999996,251.1699329999999,501.37618800000183,99.135,2.9349994870246054,0.0,300,330,370,380,420,460,460,470,500,500,500
,Aggregated,974,2,300,322.28755165195133,235.63357799999096,1259.173435000008,1492.6919917864477,14.29344750180983,0.029349994870246057,300,330,360,370,420,460,490,590,1300,1300,1300
